location,location_type,country,state_province,district_county_municipality,city,alt_name1,alt_name2
Dominican_Republic,country,Dominican_Republic,NA,NA,NA,NA,NA
Dominican_Republic-Azua-Compostela,municipality,Dominican_Republic,Azua,Compostela,NA,NA,NA
Dominican_Republic-Barahona,province,Dominican_Republic,Barahona,unknown,NA,NA,NA
Dominican_Republic-Distrito_Nacional,municipality,Dominican_Republic,Distrito_Nacional,unknown,NA,NA,NA
Dominican_Republic-Ensanche_Ozama,municipality,Dominican_Republic,Ensanche,unknown,NA,NA,NA
Dominican_Republic-Independencia,province,Dominican_Republic,Independencia,unknown,NA,NA,NA
Dominican_Republic-Jimani_de_Independencia,municipality,Dominican_Republic,Independencia,Jimani,NA,NA,NA
Dominican_Republic-Las_Canas,municipality,Dominican_Republic,unknown,Las_Canas,NA,NA,NA
Dominican_Republic-Las_Minas_Norte,municipality,Dominican_Republic,unknown,Las_Minas_Norte,NA,NA,NA
Dominican_Republic-Luperon-Puerto_Plata,municipality,Dominican_Republic,Puerto_Plata,Luperon,NA,NA,NA
Dominican_Republic-Puerto Plata,province,Dominican_Republic,Puerto_Plata,unknown,NA,NA,NA
Dominican_Republic-Santa_Cruz-Barahona,municipality,Dominican_Republic,Barahona,Santa_Cruz,NA,NA,NA
Dominican_Republic-Santiago-Caballeros,municipality,Dominican_Republic,Santiago,Caballeros,NA,NA,NA
Dominican_Republic-Santiago-Ensueno,municipality,Dominican_Republic,Santiago,Ensueno,NA,NA,NA
Dominican_Republic-Santo_Domingo,municipality,Dominican_Republic,Santo_Domingo,unknown,NA,NA,NA
Dominican_Republic-Santo_Domingo_Norte,municipality,Dominican_Republic,Santo_Domingo,unknown,NA,NA,NA
Dominican_Republic-Santo_Domingo_Este,municipality,Dominican_Republic,Santo_Domingo,unknown,NA,NA,NA
Dominican_Republic-Santo_Domingo_Oeste,municipality,Dominican_Republic,Santo_Domingo,unknown,NA,NA,NA
Dominican_Republic-Santo_Domingo_Este-Los_Corales_del_Sur,municipality,Dominican_Republic,Santo_Domingo,Los_Corales_Sur,NA,NA,NA
Dominican_Republic-Santo_Domingo_Este-Herrera,municipality,Dominican_Republic,Santo_Domingo,Herrera,NA,NA,NA
Dominican_Republic-Distrito_Nacional,province,Dominican_Republic,Distrito_Nacional,NA,NA,NA,NA
Dominican_Republic-Azua,province,Dominican_Republic,Azua,NA,NA,NA,NA
Dominican_Republic-Baoruco,province,Dominican_Republic,Baoruco,NA,NA,NA,NA
Dominican_Republic-Barahona,province,Dominican_Republic,Barahona,NA,NA,NA,NA
Dominican_Republic-Dajabon,province,Dominican_Republic,Dajabon,NA,NA,NA,NA
Dominican_Republic-Duarte,province,Dominican_Republic,Duarte,NA,NA,NA,NA
Dominican_Republic-Elias_Pina,province,Dominican_Republic,Elias_Pina,NA,NA,NA,NA
Dominican_Republic-El_Seibo,province,Dominican_Republic,El_Seibo,NA,NA,NA,NA
Dominican_Republic-Espaillat,province,Dominican_Republic,Espaillat,NA,NA,NA,NA
Dominican_Republic-Independencia,province,Dominican_Republic,Independencia,NA,NA,NA,NA
Dominican_Republic-La_Altagracia,province,Dominican_Republic,La_Altagracia,NA,NA,NA,NA
Dominican_Republic-La_Romana,province,Dominican_Republic,La_Romana,NA,NA,NA,NA
Dominican_Republic-La_Vega,province,Dominican_Republic,La_Vega,NA,NA,NA,NA
Dominican_Republic-Maria_Trinidad_Sanchez,province,Dominican_Republic,Maria_Trinidad_Sanchez,NA,NA,NA,NA
Dominican_Republic-Monte_Cristi,province,Dominican_Republic,Monte_Cristi,NA,NA,NA,NA
Dominican_Republic-Pedernales,province,Dominican_Republic,Pedernales,NA,NA,NA,NA
Dominican_Republic-Peravia,province,Dominican_Republic,Peravia,NA,NA,NA,NA
Dominican_Republic-Puerto_Plata,province,Dominican_Republic,Puerto_Plata,NA,NA,NA,NA
Dominican_Republic-Hermanas_Mirabal,province,Dominican_Republic,Hermanas_Mirabal,NA,NA,NA,NA
Dominican_Republic-Samana,province,Dominican_Republic,Samana,NA,NA,NA,NA
Dominican_Republic-San_Cristobal,province,Dominican_Republic,San_Cristobal,NA,NA,NA,NA
Dominican_Republic-San_Juan,province,Dominican_Republic,San_Juan,NA,NA,NA,NA
Dominican_Republic-San_Pedro_de_Macoris,province,Dominican_Republic,San_Pedro_de_Macoris,NA,NA,NA,NA
Dominican_Republic-Sanchez_Ramirez,province,Dominican_Republic,Sanchez_Ramirez,NA,NA,NA,NA
Dominican_Republic-Santiago,province,Dominican_Republic,Santiago,NA,NA,NA,NA
Dominican_Republic-Santiago-Rodriguez,municipality,Dominican_Republic,Santiago,Rodriguez,NA,NA,NA
Dominican_Republic-Valverde,province,Dominican_Republic,Valverde,NA,NA,NA,NA
Dominican_Republic-Monsenor_Nouel,province,Dominican_Republic,Monsenor_Nouel,NA,NA,NA,NA
Dominican_Republic-Monte_Plata,province,Dominican_Republic,Monte_Plata,NA,NA,NA,NA
Dominican_Republic-Hato_Mayor,province,Dominican_Republic,Hato_Mayor,NA,NA,NA,NA
Dominican_Republic-San_Jose_de_Ocoa,province,Dominican_Republic,San_Jose_de_Ocoa,NA,NA,NA,NA
Dominican_Republic-Santo_Domingo,province,Dominican_Republic,Santo_Domingo,NA,NA,NA,NA
Dominican_Republic-Extranjera,province,Dominican_Republic,Extranjera,NA,NA,NA,NA
Dominican_Republic-Other,province,Dominican_Republic,Other,NA,NA,NA,NA
